CAR_NO,CAR_NAME,CLASSIFICATION,MANUFACTURER_CODE,ENGINE_TYPE,DISPLACEMENT,HORSEPOWER,TORQUE,EFFICIENCY,CAR_PRICE,CAR_FRONT_URL,CAR_AROUND_URL,CAR_3D_URL,CAR_DESC,CAR_SUMMARY
85,Model Y RWD,경차,15,전기모터,130,293,310,5.1,52990000,asd,asd,asd,asd,asd
86,Huracan EVO 스파이더,스포츠카,16,가솔린,130,610,57.1,5.8,328900000,asd,asd,asd,asd,asd
87,Urusu 퍼포만테,스포츠카,16,가솔린,130,666,86.7,6.3,328900000,asd,asd,asd,asd,asd
88,Purosangue,스포츠카,17,가솔린,130,725,73,5.1,549000000,asd,asd,asd,asd,asd
89,Roma,스포츠카,17,가솔린,130,620,77.5,7.4,320000000,asd,asd,asd,asd,asd
90,SF90 Stradale,스포츠카,17,하이브리드,130,780,81.6,7.4,640000000,asd,asd,asd,asd,asd
91,Grecale 2.0 GT,SUV,18,가솔린,130,300,45.9,9.9,107910000,asd,asd,asd,asd,asd
92,Gran Turismo,스포츠카,18,가솔린,130,490,61.2,8.4,244250000,asd,asd,asd,asd,asd
93,Range Rover,SUV,20,가솔린,130,530,76.5,7.8,237900000,asd,asd,asd,asd,asd
94,Range Rover HEV,SUV,20,하이브리드,130,550,81.6,8.7,234700000,asd,asd,asd,asd,asd
95,Range Rover Sports Dynamic,SUV,20,가솔린,130,360,51,8.3,140300000,asd,asd,asd,asd,asd
96,Range Rover Sports Dynamic HEV,SUV,20,하이브리드,130,550,81.6,8.7,183400000,asd,asd,asd,asd,asd
97,Defender 110,SUV,20,가솔린,130,400,56.1,6.9,149800000,asd,asd,asd,asd,asd
98,Cullinan Series II,SUV,22,가솔린,130,571,86.7,5.5,577000000,asd,asd,asd,asd,asd
99,Cullinan Series II Black Badge,SUV,22,가솔린,130,600,91.8,5.4,670000000,asd,asd,asd,asd,asd
100,Spectre,스포츠카,22,전기모터,130,585,91.8,3.2,622000000,asd,asd,asd,asd,asd
101,Ghost Standard Wheel Base,세단,22,가솔린,130,571,86.7,5.7,471000000,asd,asd,asd,asd,asd
102,Ghost Black Badge,세단,22,가솔린,130,600,91.8,5.6,555000000,asd,asd,asd,asd,asd
103,Continental GT,스포츠카,23,가솔린,130,550,78.5,8,328900000,asd,asd,asd,asd,asd
104,Flying Spur,세단,23,가솔린,130,550,78.5,7.1,329200000,asd,asd,asd,asd,asd
105,Bentayga,SUV,23,가솔린,130,550,78.5,7,263500000,asd,asd,asd,asd,asd
106,Vantage,스포츠카,24,가솔린,130,510,69.8,9.7,215000000,asd,asd,asd,asd,asd
107,DBX,SUV,24,가솔린,130,550,71.4,6.9,248000000,asd,asd,asd,asd,asd
108,Cooper S 3-DOOR,경차,25,가솔린,130,120,25.5,12.5,37400000,asd,asd,asd,asd,asd
109,Cooper S 5-DOOR,경차,25,가솔린,130,150,30.6,12.4,49700000,asd,asd,asd,asd,asd
110,Countryman,SUV,25,가솔린,130,150,30.6,10.8,49900000,asd,asd,asd,asd,asd
111,XC60,SUV,26,가솔린,130,250,35.7,10.1,64400000,asd,asd,asd,asd,asd
112,XC40,SUV,26,가솔린,130,197,30.6,10.3,49500000,asd,asd,asd,asd,asd
113,S90,세단,26,가솔린,130,250,35.7,11.7,64000000,asd,asd,asd,asd,asd
114,XC90,SUV,26,가솔린,130,300,42.8,9.1,87200000,asd,asd,asd,asd,asd
115,S60,세단,26,가솔린,130,250,35.7,12,56900000,asd,asd,asd,asd,asd
116,408,SUV,27,가솔린,130,131,23.5,12.9,42900000,asd,asd,asd,asd,asd
117,e-2008,SUV,27,전기모터,130,136,26.5,4.9,38900000,asd,asd,asd,asd,asd
118,5008,SUV,27,가솔린,130,131,23.5,12.1,46000000,asd,asd,asd,asd,asd
119,e-208,경차,27,전기모터,130,136,26.5,5.4,39900000,asd,asd,asd,asd,asd
120,3008,SUV,27,가솔린,130,131,23.5,12.2,42200000,asd,asd,asd,asd,asd
121,그랑 콜레오스 HEV,SUV,28,하이브리드,130,144,23.5,15.7,37770000,asd,asd,asd,asd,asd
122,QM6,SUV,28,가솔린,130,144,20.4,11.6,30950000,asd,asd,asd,asd,asd
123,아르카나,SUV,28,하이브리드,130,86,13.9,17.4,28450000,asd,asd,asd,asd,asd
124,SM6,세단,28,가솔린,1332,156,26.5,13.6,29250000,asd,asd,asd,asd,asd
